24 24 22 20 18 17 17 17 16 16 15 15 15 14 14 14 14 15 15 16 18 19 21 21 
24 24 20 18 16 15 15 13 12 12 12 12 11 11 11 12 12 12 13 14 16 18 21 21 
24 24 22 19 17 16 16 14 14 13 13 12 12 12 12 13 13 14 14 15 16 19 21 21 
25 25 22 19 17 15 15 14 13 12 12 12 12 11 12 12 12 13 13 13 15 15 21 21 
25 25 22 20 18 16 16 15 14 14 13 13 13 13 13 13 14 15 15 16 17 18 20 20 
25 25 22 19 17 15 15 14 12 12 11 11 11 10 10 11 11 11 12 12 14 16 18 18 
24 24 21 19 17 16 16 14 13 12 12 11 11 11 11 11 11 11 12 13 14 16 18 18 
25 25 22 20 19 17 17 17 16 15 14 14 14 14 13 13 13 14 14 14 14 15 16 16 
23 23 20 18 16 14 14 13 13 12 12 11 11 11 11 12 12 12 13 13 14 15 17 17 
24 24 21 19 17 16 16 14 13 12 12 12 12 12 12 13 13 13 13 14 15 17 19 19 
25 25 22 20 18 17 17 16 15 14 14 13 13 13 13 13 13 13 13 15 17 17 19 19 
23 23 20 18 16 14 14 14 13 13 12 11 11 12 12 13 12 12 13 14 16 18 21 21 
23 23 21 19 17 16 16 15 14 14 14 13 13 13 13 14 14 14 15 16 17 19 21 21 
24 24 21 19 17 15 15 14 13 12 12 11 11 11 11 12 12 12 13 14 15 17 19 19 
23 23 21 19 17 16 16 15 14 13 13 13 13 12 12 12 13 13 13 13 14 16 18 18 
24 24 20 18 16 14 14 13 12 12 11 11 11 11 10 10 10 10 11 12 13 14 15 15 
25 25 22 20 19 18 18 17 16 14 15 15 15 15 15 15 14 12 12 14 14 16 17 17 
23 23 21 18 16 15 15 14 13 12 12 12 12 12 12 12 13 13 13 13 14 15 17 17 
22 22 20 18 17 15 15 14 13 13 13 13 12 12 12 12 12 12 13 13 14 15 17 17 
23 23 20 18 16 14 14 13 12 12 11 11 11 11 11 12 12 13 13 14 15 17 19 19 
25 25 22 19 18 16 16 15 14 13 12 12 12 12 12 12 12 12 12 13 14 15 17 17 
24 24 22 19 18 16 16 15 14 13 13 12 12 12 12 12 13 13 13 14 15 17 19 19 
